id,scene,view_id,type,scale,sigma,spp,width,height,filename,path
scene1_12_GN_10,scene1,12,GN,-,10,-,1024,1024,scene1_012.png,data\scene1\Noise_gaussian_10\scene1_012.png
scene1_12_GN_25,scene1,12,GN,-,25,-,1024,1024,scene1_012.png,data\scene1\Noise_gaussian_25\scene1_012.png
scene1_12_RN32,scene1,12,RN,-,-,32,1024,1024,scene1_012.png,data\scene1\Noise_render_32spp\scene1_012.png
scene1_13_GT,scene1,13,GT,-,-,-,1024,1024,scene1_013.png,data\scene1\GT\scene1_013.png
scene1_13_LR,scene1,13,LR,x4,-,-,256,256,scene1_013.png,data\scene1\LR_x4\scene1_013.png
scene1_13_GN_10,scene1,13,GN,-,10,-,1024,1024,scene1_013.png,data\scene1\Noise_gaussian_10\scene1_013.png
scene1_13_GN_25,scene1,13,GN,-,25,-,1024,1024,scene1_013.png,data\scene1\Noise_gaussian_25\scene1_013.png
scene1_13_RN32,scene1,13,RN,-,-,32,1024,1024,scene1_013.png,data\scene1\Noise_render_32spp\scene1_013.png
scene1_14_GT,scene1,14,GT,-,-,-,1024,1024,scene1_014.png,data\scene1\GT\scene1_014.png
scene1_14_LR,scene1,14,LR,x4,-,-,256,256,scene1_014.png,data\scene1\LR_x4\scene1_014.png
scene1_14_GN_10,scene1,14,GN,-,10,-,1024,1024,scene1_014.png,data\scene1\Noise_gaussian_10\scene1_014.png
scene1_14_GN_25,scene1,14,GN,-,25,-,1024,1024,scene1_014.png,data\scene1\Noise_gaussian_25\scene1_014.png
scene1_14_RN32,scene1,14,RN,-,-,32,1024,1024,scene1_014.png,data\scene1\Noise_render_32spp\scene1_014.png
scene1_15_GT,scene1,15,GT,-,-,-,1024,1024,scene1_015.png,data\scene1\GT\scene1_015.png
scene1_15_LR,scene1,15,LR,x4,-,-,256,256,scene1_015.png,data\scene1\LR_x4\scene1_015.png
scene1_15_GN_10,scene1,15,GN,-,10,-,1024,1024,scene1_015.png,data\scene1\Noise_gaussian_10\scene1_015.png
scene1_15_GN_25,scene1,15,GN,-,25,-,1024,1024,scene1_015.png,data\scene1\Noise_gaussian_25\scene1_015.png
scene1_15_RN32,scene1,15,RN,-,-,32,1024,1024,scene1_015.png,data\scene1\Noise_render_32spp\scene1_015.png
scene1_16_GT,scene1,16,GT,-,-,-,1024,1024,scene1_016.png,data\scene1\GT\scene1_016.png
scene1_16_LR,scene1,16,LR,x4,-,-,256,256,scene1_016.png,data\scene1\LR_x4\scene1_016.png
scene1_16_GN_10,scene1,16,GN,-,10,-,1024,1024,scene1_016.png,data\scene1\Noise_gaussian_10\scene1_016.png
scene1_16_GN_25,scene1,16,GN,-,25,-,1024,1024,scene1_016.png,data\scene1\Noise_gaussian_25\scene1_016.png
scene1_16_RN32,scene1,16,RN,-,-,32,1024,1024,scene1_016.png,data\scene1\Noise_render_32spp\scene1_016.png
scene1_17_GT,scene1,17,GT,-,-,-,1024,1024,scene1_017.png,data\scene1\GT\scene1_017.png
scene1_17_LR,scene1,17,LR,x4,-,-,256,256,scene1_017.png,data\scene1\LR_x4\scene1_017.png
scene1_17_GN_10,scene1,17,GN,-,10,-,1024,1024,scene1_017.png,data\scene1\Noise_gaussian_10\scene1_017.png
scene1_17_GN_25,scene1,17,GN,-,25,-,1024,1024,scene1_017.png,data\scene1\Noise_gaussian_25\scene1_017.png
scene1_17_RN32,scene1,17,RN,-,-,32,1024,1024,scene1_017.png,data\scene1\Noise_render_32spp\scene1_017.png
scene1_18_GT,scene1,18,GT,-,-,-,1024,1024,scene1_018.png,data\scene1\GT\scene1_018.png
scene1_18_LR,scene1,18,LR,x4,-,-,256,256,scene1_018.png,data\scene1\LR_x4\scene1_018.png
scene1_18_GN_10,scene1,18,GN,-,10,-,1024,1024,scene1_018.png,data\scene1\Noise_gaussian_10\scene1_018.png
scene1_18_GN_25,scene1,18,GN,-,25,-,1024,1024,scene1_018.png,data\scene1\Noise_gaussian_25\scene1_018.png
scene1_18_RN32,scene1,18,RN,-,-,32,1024,1024,scene1_018.png,data\scene1\Noise_render_32spp\scene1_018.png
scene1_19_GT,scene1,19,GT,-,-,-,1024,1024,scene1_019.png,data\scene1\GT\scene1_019.png
scene1_19_LR,scene1,19,LR,x4,-,-,256,256,scene1_019.png,data\scene1\LR_x4\scene1_019.png
scene1_19_GN_10,scene1,19,GN,-,10,-,1024,1024,scene1_019.png,data\scene1\Noise_gaussian_10\scene1_019.png
scene1_19_GN_25,scene1,19,GN,-,25,-,1024,1024,scene1_019.png,data\scene1\Noise_gaussian_25\scene1_019.png
scene1_19_RN32,scene1,19,RN,-,-,32,1024,1024,scene1_019.png,data\scene1\Noise_render_32spp\scene1_019.png
scene1_24_GT,scene1,24,GT,-,-,-,1024,1024,scene1_024.png,data\scene1\GT\scene1_024.png
scene1_24_LR,scene1,24,LR,x4,-,-,256,256,scene1_024.png,data\scene1\LR_x4\scene1_024.png
scene1_24_GN_10,scene1,24,GN,-,10,-,1024,1024,scene1_024.png,data\scene1\Noise_gaussian_10\scene1_024.png
scene1_24_GN_25,scene1,24,GN,-,25,-,1024,1024,scene1_024.png,data\scene1\Noise_gaussian_25\scene1_024.png
scene1_24_RN32,scene1,24,RN,-,-,32,1024,1024,scene1_024.png,data\scene1\Noise_render_32spp\scene1_024.png
scene1_25_GT,scene1,25,GT,-,-,-,1024,1024,scene1_025.png,data\scene1\GT\scene1_025.png
scene1_25_LR,scene1,25,LR,x4,-,-,256,256,scene1_025.png,data\scene1\LR_x4\scene1_025.png
scene1_25_GN_10,scene1,25,GN,-,10,-,1024,1024,scene1_025.png,data\scene1\Noise_gaussian_10\scene1_025.png
scene1_25_GN_25,scene1,25,GN,-,25,-,1024,1024,scene1_025.png,data\scene1\Noise_gaussian_25\scene1_025.png
scene1_25_RN32,scene1,25,RN,-,-,32,1024,1024,scene1_025.png,data\scene1\Noise_render_32spp\scene1_025.png
scene1_26_GT,scene1,26,GT,-,-,-,1024,1024,scene1_026.png,data\scene1\GT\scene1_026.png
scene1_26_LR,scene1,26,LR,x4,-,-,256,256,scene1_026.png,data\scene1\LR_x4\scene1_026.png
scene1_26_GN_10,scene1,26,GN,-,10,-,1024,1024,scene1_026.png,data\scene1\Noise_gaussian_10\scene1_026.png
scene1_26_GN_25,scene1,26,GN,-,25,-,1024,1024,scene1_026.png,data\scene1\Noise_gaussian_25\scene1_026.png
scene1_26_RN32,scene1,26,RN,-,-,32,1024,1024,scene1_026.png,data\scene1\Noise_render_32spp\scene1_026.png
scene1_27_GT,scene1,27,GT,-,-,-,1024,1024,scene1_027.png,data\scene1\GT\scene1_027.png
scene1_27_LR,scene1,27,LR,x4,-,-,256,256,scene1_027.png,data\scene1\LR_x4\scene1_027.png
scene1_27_GN_10,scene1,27,GN,-,10,-,1024,1024,scene1_027.png,data\scene1\Noise_gaussian_10\scene1_027.png
scene1_27_GN_25,scene1,27,GN,-,25,-,1024,1024,scene1_027.png,data\scene1\Noise_gaussian_25\scene1_027.png
scene1_27_RN32,scene1,27,RN,-,-,32,1024,1024,scene1_027.png,data\scene1\Noise_render_32spp\scene1_027.png
scene1_29_GT,scene1,29,GT,-,-,-,1024,1024,scene1_029.png,data\scene1\GT\scene1_029.png
scene1_29_LR,scene1,29,LR,x4,-,-,256,256,scene1_029.png,data\scene1\LR_x4\scene1_029.png
scene1_29_GN_10,scene1,29,GN,-,10,-,1024,1024,scene1_029.png,data\scene1\Noise_gaussian_10\scene1_029.png
scene1_29_GN_25,scene1,29,GN,-,25,-,1024,1024,scene1_029.png,data\scene1\Noise_gaussian_25\scene1_029.png
scene1_29_RN32,scene1,29,RN,-,-,32,1024,1024,scene1_029.png,data\scene1\Noise_render_32spp\scene1_029.png
scene2_0_GT,scene2,0,GT,-,-,-,1024,1024,scene2_000.png,data\scene2\GT\scene2_000.png
scene2_0_LR,scene2,0,LR,x4,-,-,256,256,scene2_000.png,data\scene2\LR_x4\scene2_000.png
scene2_0_GN_10,scene2,0,GN,-,10,-,1024,1024,scene2_000.png,data\scene2\Noise_gaussian_10\scene2_000.png
scene2_0_GN_25,scene2,0,GN,-,25,-,1024,1024,scene2_000.png,data\scene2\Noise_gaussian_25\scene2_000.png
scene2_0_RN32,scene2,0,RN,-,-,32,1024,1024,scene2_000.png,data\scene2\Noise_render_32spp\scene2_000.png
scene2_1_GT,scene2,1,GT,-,-,-,1024,1024,scene2_001.png,data\scene2\GT\scene2_001.png
scene2_1_LR,scene2,1,LR,x4,-,-,256,256,scene2_001.png,data\scene2\LR_x4\scene2_001.png
scene2_1_GN_10,scene2,1,GN,-,10,-,1024,1024,scene2_001.png,data\scene2\Noise_gaussian_10\scene2_001.png
scene2_1_GN_25,scene2,1,GN,-,25,-,1024,1024,scene2_001.png,data\scene2\Noise_gaussian_25\scene2_001.png
scene2_1_RN32,scene2,1,RN,-,-,32,1024,1024,scene2_001.png,data\scene2\Noise_render_32spp\scene2_001.png
scene2_2_GT,scene2,2,GT,-,-,-,1024,1024,scene2_002.png,data\scene2\GT\scene2_002.png
scene2_2_LR,scene2,2,LR,x4,-,-,256,256,scene2_002.png,data\scene2\LR_x4\scene2_002.png
scene2_2_GN_10,scene2,2,GN,-,10,-,1024,1024,scene2_002.png,data\scene2\Noise_gaussian_10\scene2_002.png
scene2_2_GN_25,scene2,2,GN,-,25,-,1024,1024,scene2_002.png,data\scene2\Noise_gaussian_25\scene2_002.png
scene2_2_RN32,scene2,2,RN,-,-,32,1024,1024,scene2_002.png,data\scene2\Noise_render_32spp\scene2_002.png
scene2_3_GT,scene2,3,GT,-,-,-,1024,1024,scene2_003.png,data\scene2\GT\scene2_003.png
scene2_3_LR,scene2,3,LR,x4,-,-,256,256,scene2_003.png,data\scene2\LR_x4\scene2_003.png
scene2_3_GN_10,scene2,3,GN,-,10,-,1024,1024,scene2_003.png,data\scene2\Noise_gaussian_10\scene2_003.png
scene2_3_GN_25,scene2,3,GN,-,25,-,1024,1024,scene2_003.png,data\scene2\Noise_gaussian_25\scene2_003.png
scene2_3_RN32,scene2,3,RN,-,-,32,1024,1024,scene2_003.png,data\scene2\Noise_render_32spp\scene2_003.png
scene2_4_GT,scene2,4,GT,-,-,-,1024,1024,scene2_004.png,data\scene2\GT\scene2_004.png
scene2_4_LR,scene2,4,LR,x4,-,-,256,256,scene2_004.png,data\scene2\LR_x4\scene2_004.png
scene2_4_GN_10,scene2,4,GN,-,10,-,1024,1024,scene2_004.png,data\scene2\Noise_gaussian_10\scene2_004.png
scene2_4_GN_25,scene2,4,GN,-,25,-,1024,1024,scene2_004.png,data\scene2\Noise_gaussian_25\scene2_004.png
scene2_4_RN32,scene2,4,RN,-,-,32,1024,1024,scene2_004.png,data\scene2\Noise_render_32spp\scene2_004.png
scene2_5_GT,scene2,5,GT,-,-,-,1024,1024,scene2_005.png,data\scene2\GT\scene2_005.png
scene2_5_LR,scene2,5,LR,x4,-,-,256,256,scene2_005.png,data\scene2\LR_x4\scene2_005.png
scene2_5_GN_10,scene2,5,GN,-,10,-,1024,1024,scene2_005.png,data\scene2\Noise_gaussian_10\scene2_005.png
scene2_5_GN_25,scene2,5,GN,-,25,-,1024,1024,scene2_005.png,data\scene2\Noise_gaussian_25\scene2_005.png
scene2_5_RN32,scene2,5,RN,-,-,32,1024,1024,scene2_005.png,data\scene2\Noise_render_32spp\scene2_005.png
scene2_6_GT,scene2,6,GT,-,-,-,1024,1024,scene2_006.png,data\scene2\GT\scene2_006.png
scene2_6_LR,scene2,6,LR,x4,-,-,256,256,scene2_006.png,data\scene2\LR_x4\scene2_006.png
scene2_6_GN_10,scene2,6,GN,-,10,-,1024,1024,scene2_006.png,data\scene2\Noise_gaussian_10\scene2_006.png
scene2_6_GN_25,scene2,6,GN,-,25,-,1024,1024,scene2_006.png,data\scene2\Noise_gaussian_25\scene2_006.png
scene2_6_RN32,scene2,6,RN,-,-,32,1024,1024,scene2_006.png,data\scene2\Noise_render_32spp\scene2_006.png
scene2_7_GT,scene2,7,GT,-,-,-,1024,1024,scene2_007.png,data\scene2\GT\scene2_007.png
scene2_7_LR,scene2,7,LR,x4,-,-,256,256,scene2_007.png,data\scene2\LR_x4\scene2_007.png
scene2_7_GN_10,scene2,7,GN,-,10,-,1024,1024,scene2_007.png,data\scene2\Noise_gaussian_10\scene2_007.png
scene2_7_GN_25,scene2,7,GN,-,25,-,1024,1024,scene2_007.png,data\scene2\Noise_gaussian_25\scene2_007.png
scene2_7_RN32,scene2,7,RN,-,-,32,1024,1024,scene2_007.png,data\scene2\Noise_render_32spp\scene2_007.png
scene2_8_GT,scene2,8,GT,-,-,-,1024,1024,scene2_008.png,data\scene2\GT\scene2_008.png
scene2_8_LR,scene2,8,LR,x4,-,-,256,256,scene2_008.png,data\scene2\LR_x4\scene2_008.png
scene2_8_GN_10,scene2,8,GN,-,10,-,1024,1024,scene2_008.png,data\scene2\Noise_gaussian_10\scene2_008.png
scene2_8_GN_25,scene2,8,GN,-,25,-,1024,1024,scene2_008.png,data\scene2\Noise_gaussian_25\scene2_008.png
scene2_8_RN32,scene2,8,RN,-,-,32,1024,1024,scene2_008.png,data\scene2\Noise_render_32spp\scene2_008.png
scene2_9_GT,scene2,9,GT,-,-,-,1024,1024,scene2_009.png,data\scene2\GT\scene2_009.png
scene2_9_LR,scene2,9,LR,x4,-,-,256,256,scene2_009.png,data\scene2\LR_x4\scene2_009.png
scene2_9_GN_10,scene2,9,GN,-,10,-,1024,1024,scene2_009.png,data\scene2\Noise_gaussian_10\scene2_009.png
scene2_9_GN_25,scene2,9,GN,-,25,-,1024,1024,scene2_009.png,data\scene2\Noise_gaussian_25\scene2_009.png
scene2_9_RN32,scene2,9,RN,-,-,32,1024,1024,scene2_009.png,data\scene2\Noise_render_32spp\scene2_009.png
scene2_20_GT,scene2,20,GT,-,-,-,1024,1024,scene2_020.png,data\scene2\GT\scene2_020.png
scene2_20_LR,scene2,20,LR,x4,-,-,256,256,scene2_020.png,data\scene2\LR_x4\scene2_020.png
scene2_20_GN_10,scene2,20,GN,-,10,-,1024,1024,scene2_020.png,data\scene2\Noise_gaussian_10\scene2_020.png
scene2_20_GN_25,scene2,20,GN,-,25,-,1024,1024,scene2_020.png,data\scene2\Noise_gaussian_25\scene2_020.png
scene2_20_RN32,scene2,20,RN,-,-,32,1024,1024,scene2_020.png,data\scene2\Noise_render_32spp\scene2_020.png
scene2_21_GT,scene2,21,GT,-,-,-,1024,1024,scene2_021.png,data\scene2\GT\scene2_021.png
scene2_21_LR,scene2,21,LR,x4,-,-,256,256,scene2_021.png,data\scene2\LR_x4\scene2_021.png
scene2_21_GN_10,scene2,21,GN,-,10,-,1024,1024,scene2_021.png,data\scene2\Noise_gaussian_10\scene2_021.png
scene2_21_GN_25,scene2,21,GN,-,25,-,1024,1024,scene2_021.png,data\scene2\Noise_gaussian_25\scene2_021.png
scene2_21_RN32,scene2,21,RN,-,-,32,1024,1024,scene2_021.png,data\scene2\Noise_render_32spp\scene2_021.png
scene2_22_GT,scene2,22,GT,-,-,-,1024,1024,scene2_022.png,data\scene2\GT\scene2_022.png
scene2_22_LR,scene2,22,LR,x4,-,-,256,256,scene2_022.png,data\scene2\LR_x4\scene2_022.png
scene2_22_GN_10,scene2,22,GN,-,10,-,1024,1024,scene2_022.png,data\scene2\Noise_gaussian_10\scene2_022.png
scene2_22_GN_25,scene2,22,GN,-,25,-,1024,1024,scene2_022.png,data\scene2\Noise_gaussian_25\scene2_022.png
scene2_22_RN32,scene2,22,RN,-,-,32,1024,1024,scene2_022.png,data\scene2\Noise_render_32spp\scene2_022.png
scene2_23_GT,scene2,23,GT,-,-,-,1024,1024,scene2_023.png,data\scene2\GT\scene2_023.png
scene2_23_LR,scene2,23,LR,x4,-,-,256,256,scene2_023.png,data\scene2\LR_x4\scene2_023.png
scene2_23_GN_10,scene2,23,GN,-,10,-,1024,1024,scene2_023.png,data\scene2\Noise_gaussian_10\scene2_023.png
scene2_23_GN_25,scene2,23,GN,-,25,-,1024,1024,scene2_023.png,data\scene2\Noise_gaussian_25\scene2_023.png
scene2_23_RN32,scene2,23,RN,-,-,32,1024,1024,scene2_023.png,data\scene2\Noise_render_32spp\scene2_023.png
scene2_24_GT,scene2,24,GT,-,-,-,1024,1024,scene2_024.png,data\scene2\GT\scene2_024.png
scene2_24_LR,scene2,24,LR,x4,-,-,256,256,scene2_024.png,data\scene2\LR_x4\scene2_024.png
scene2_24_GN_10,scene2,24,GN,-,10,-,1024,1024,scene2_024.png,data\scene2\Noise_gaussian_10\scene2_024.png
scene2_24_GN_25,scene2,24,GN,-,25,-,1024,1024,scene2_024.png,data\scene2\Noise_gaussian_25\scene2_024.png
scene2_24_RN32,scene2,24,RN,-,-,32,1024,1024,scene2_024.png,data\scene2\Noise_render_32spp\scene2_024.png
scene2_25_GT,scene2,25,GT,-,-,-,1024,1024,scene2_025.png,data\scene2\GT\scene2_025.png
scene2_25_LR,scene2,25,LR,x4,-,-,256,256,scene2_025.png,data\scene2\LR_x4\scene2_025.png
scene2_25_GN_10,scene2,25,GN,-,10,-,1024,1024,scene2_025.png,data\scene2\Noise_gaussian_10\scene2_025.png
scene2_25_GN_25,scene2,25,GN,-,25,-,1024,1024,scene2_025.png,data\scene2\Noise_gaussian_25\scene2_025.png
scene2_25_RN32,scene2,25,RN,-,-,32,1024,1024,scene2_025.png,data\scene2\Noise_render_32spp\scene2_025.png
scene2_26_GT,scene2,26,GT,-,-,-,1024,1024,scene2_026.png,data\scene2\GT\scene2_026.png
scene2_26_LR,scene2,26,LR,x4,-,-,256,256,scene2_026.png,data\scene2\LR_x4\scene2_026.png
scene2_26_GN_10,scene2,26,GN,-,10,-,1024,1024,scene2_026.png,data\scene2\Noise_gaussian_10\scene2_026.png
scene2_26_GN_25,scene2,26,GN,-,25,-,1024,1024,scene2_026.png,data\scene2\Noise_gaussian_25\scene2_026.png
scene2_26_RN32,scene2,26,RN,-,-,32,1024,1024,scene2_026.png,data\scene2\Noise_render_32spp\scene2_026.png
scene2_27_GT,scene2,27,GT,-,-,-,1024,1024,scene2_027.png,data\scene2\GT\scene2_027.png
scene2_27_LR,scene2,27,LR,x4,-,-,256,256,scene2_027.png,data\scene2\LR_x4\scene2_027.png
scene2_27_GN_10,scene2,27,GN,-,10,-,1024,1024,scene2_027.png,data\scene2\Noise_gaussian_10\scene2_027.png
scene2_27_GN_25,scene2,27,GN,-,25,-,1024,1024,scene2_027.png,data\scene2\Noise_gaussian_25\scene2_027.png
scene2_27_RN32,scene2,27,RN,-,-,32,1024,1024,scene2_027.png,data\scene2\Noise_render_32spp\scene2_027.png
scene2_28_GT,scene2,28,GT,-,-,-,1024,1024,scene2_028.png,data\scene2\GT\scene2_028.png
scene2_28_LR,scene2,28,LR,x4,-,-,256,256,scene2_028.png,data\scene2\LR_x4\scene2_028.png
scene2_28_GN_10,scene2,28,GN,-,10,-,1024,1024,scene2_028.png,data\scene2\Noise_gaussian_10\scene2_028.png
scene2_28_GN_25,scene2,28,GN,-,25,-,1024,1024,scene2_028.png,data\scene2\Noise_gaussian_25\scene2_028.png
scene2_28_RN32,scene2,28,RN,-,-,32,1024,1024,scene2_028.png,data\scene2\Noise_render_32spp\scene2_028.png
scene2_29_GT,scene2,29,GT,-,-,-,1024,1024,scene2_029.png,data\scene2\GT\scene2_029.png
scene2_29_LR,scene2,29,LR,x4,-,-,256,256,scene2_029.png,data\scene2\LR_x4\scene2_029.png
scene2_29_GN_10,scene2,29,GN,-,10,-,1024,1024,scene2_029.png,data\scene2\Noise_gaussian_10\scene2_029.png
scene2_29_GN_25,scene2,29,GN,-,25,-,1024,1024,scene2_029.png,data\scene2\Noise_gaussian_25\scene2_029.png
scene2_29_RN32,scene2,29,RN,-,-,32,1024,1024,scene2_029.png,data\scene2\Noise_render_32spp\scene2_029.png
scene3_0_GT,scene3,0,GT,-,-,-,1024,1024,scene3_000.png,data\scene3\GT\scene3_000.png
scene3_0_LR,scene3,0,LR,x4,-,-,256,256,scene3_000.png,data\scene3\LR_x4\scene3_000.png
scene3_0_GN_10,scene3,0,GN,-,10,-,1024,1024,scene3_000.png,data\scene3\Noise_gaussian_10\scene3_000.png
scene3_0_GN_25,scene3,0,GN,-,25,-,1024,1024,scene3_000.png,data\scene3\Noise_gaussian_25\scene3_000.png
scene3_0_RN32,scene3,0,RN,-,-,32,1024,1024,scene3_000.png,data\scene3\Noise_render_32spp\scene3_000.png
scene3_1_GT,scene3,1,GT,-,-,-,1024,1024,scene3_001.png,data\scene3\GT\scene3_001.png
scene3_1_LR,scene3,1,LR,x4,-,-,256,256,scene3_001.png,data\scene3\LR_x4\scene3_001.png
scene3_1_GN_10,scene3,1,GN,-,10,-,1024,1024,scene3_001.png,data\scene3\Noise_gaussian_10\scene3_001.png
scene3_1_GN_25,scene3,1,GN,-,25,-,1024,1024,scene3_001.png,data\scene3\Noise_gaussian_25\scene3_001.png
scene3_1_RN32,scene3,1,RN,-,-,32,1024,1024,scene3_001.png,data\scene3\Noise_render_32spp\scene3_001.png
scene3_2_GT,scene3,2,GT,-,-,-,1024,1024,scene3_002.png,data\scene3\GT\scene3_002.png
scene3_2_LR,scene3,2,LR,x4,-,-,256,256,scene3_002.png,data\scene3\LR_x4\scene3_002.png
scene3_2_GN_10,scene3,2,GN,-,10,-,1024,1024,scene3_002.png,data\scene3\Noise_gaussian_10\scene3_002.png
scene3_2_GN_25,scene3,2,GN,-,25,-,1024,1024,scene3_002.png,data\scene3\Noise_gaussian_25\scene3_002.png
scene3_2_RN32,scene3,2,RN,-,-,32,1024,1024,scene3_002.png,data\scene3\Noise_render_32spp\scene3_002.png
scene3_3_GT,scene3,3,GT,-,-,-,1024,1024,scene3_003.png,data\scene3\GT\scene3_003.png
scene3_3_LR,scene3,3,LR,x4,-,-,256,256,scene3_003.png,data\scene3\LR_x4\scene3_003.png
scene3_3_GN_10,scene3,3,GN,-,10,-,1024,1024,scene3_003.png,data\scene3\Noise_gaussian_10\scene3_003.png
scene3_3_GN_25,scene3,3,GN,-,25,-,1024,1024,scene3_003.png,data\scene3\Noise_gaussian_25\scene3_003.png
scene3_3_RN32,scene3,3,RN,-,-,32,1024,1024,scene3_003.png,data\scene3\Noise_render_32spp\scene3_003.png
scene3_8_GT,scene3,8,GT,-,-,-,1024,1024,scene3_008.png,data\scene3\GT\scene3_008.png
scene3_8_LR,scene3,8,LR,x4,-,-,256,256,scene3_008.png,data\scene3\LR_x4\scene3_008.png
scene3_8_GN_10,scene3,8,GN,-,10,-,1024,1024,scene3_008.png,data\scene3\Noise_gaussian_10\scene3_008.png
scene3_8_GN_25,scene3,8,GN,-,25,-,1024,1024,scene3_008.png,data\scene3\Noise_gaussian_25\scene3_008.png
scene3_8_RN32,scene3,8,RN,-,-,32,1024,1024,scene3_008.png,data\scene3\Noise_render_32spp\scene3_008.png
scene3_9_GT,scene3,9,GT,-,-,-,1024,1024,scene3_009.png,data\scene3\GT\scene3_009.png
scene3_9_LR,scene3,9,LR,x4,-,-,256,256,scene3_009.png,data\scene3\LR_x4\scene3_009.png
scene3_9_GN_10,scene3,9,GN,-,10,-,1024,1024,scene3_009.png,data\scene3\Noise_gaussian_10\scene3_009.png
